email,country,phone,create_date,industry,address,hs_object_id,city
zoe_owen450104633@acrit.org,United States,(+1) 774 386624,2023-05-15T02:39:02.002Z,;Poultry and fish,"Blackpool  Rue, 6576",416102,Waterford
zara_rodwell1398442854@nickia.com,Ireland,(+353) 6777 367783,2023-05-15T02:39:02.003Z,;Fruit and vegetables,"Parkfield  Avenue, 5340",413403,
zara_freeburn1593147546@gmail.com,Ireland,(+353) 5618 556540,2023-05-15T02:39:02.003Z,;Milling,"Abourne   Lane, 876",417951,
winnie_walter538064895@sheye.org,Ireland,(+353) 1161 604327,2023-05-15T02:39:02.003Z,;Dairy products,"Chester      Crossroad, 7070",419852,Dublin
zoe_owen1652446013@bungar.biz,Ireland,(+353) 5645 416200,2023-05-15T02:39:02.003Z,;Meat,"Tilloch   Crossroad, 8332",425352,Dublin
zara_oldfield587137840@ubusive.com,United Kingdom,(+44) 7614 866578,2023-05-15T02:39:02.003Z,;Animal feeds,"Jackson Hill, 547",427351,London
zara_freeburn2028884073@gembat.biz,Ireland,(+353) 6224 156216,2023-05-15T02:39:02.003Z,;Meat,"Fieldstone Grove, 9968",428601,Limerick
zara_rodwell1270511699@zorer.org,Ireland,(+353) 3386 252475,2023-05-15T02:39:02.003Z,;Fruit and vegetables,"Becklow  Way, 8143",432351,Dublin
zara_oldfield769606638@atink.com,Ireland,(+353) 2716 506551,2023-05-15T02:39:02.003Z,;Meat,"Battersea   Walk, 8093",433703,Limerick
willow_morris1105172480@qater.org,United Kingdom,(+44) 4660 745823,2023-05-15T02:39:02.004Z,;Fruit and vegetables,"Bellenden   Tunnel, 9570",413251,Winchester
willow_nash743964098@twace.org,Ireland,(+353) 6164 007600,2023-05-15T02:39:02.004Z,;Animal feeds,"Cable    Drive, 7975",419751,
willow_nash1165890703@fuliss.net,United Kingdom,(+44) 4344 202781,2023-05-15T02:39:02.004Z,;Fruit and vegetables,"Ellerslie Boulevard, 5976",420601,London
willow_morris1547026985@tonsy.org,United Kingdom,(+44) 822 137453,2023-05-15T02:39:02.004Z,;Animal feeds,"Linden Rue, 5269",427051,Milton Keynes
winnie_bristow1379132537@sheye.org,United Kingdom,(+44) 1026 166508,2023-05-15T02:39:02.004Z,;Fruit and vegetables,"Aylward   Avenue, 6033",434002,Oxford
willow_jones456638849@atink.com,United States,(+1) 8438 055458,2023-05-15T02:39:02.004Z,;Milling,"Cliffords  Route, 6823",434401,Waterford
winnie_walter1068546463@naiker.biz,Ireland,(+353) 2567 604285,2023-05-15T02:39:02.004Z,;Dairy products,"Collins  Lane, 3994",437452,
